network,country,country_code,continent,continent_code,asn,as_name,as_domain,type
2001:470:f8f9:980::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:fc9b::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:fcce:980::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:fe94::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:feb7::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:fecd::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:678:119c::/48,United Kingdom,GB,Europe,EU,AS213565,Badonde Networks,icloud.com,unknown
2001:67c:a38:f098::/64,Iran,IR,Asia,AS,AS204186,BILLY Remi,billysworld.fr,global_cdn_edge
2001:df1:f40::/48,Japan,JP,Asia,AS,AS62184,Michal Nowak,pm.me,unknown
2001:16c0:6::/47,Iran,IR,Asia,AS,AS31732,Parsun Network Solutions PTY LTD,parsun.com,global_cdn_edge
2001:16c0:8::/48,Iran,IR,Asia,AS,AS31732,Parsun Network Solutions PTY LTD,parsun.com,global_cdn_edge
2001:16c0:53::/48,Iran,IR,Asia,AS,AS31732,Parsun Network Solutions PTY LTD,parsun.com,global_cdn_edge
2001:16c0:1235::/48,Iran,IR,Asia,AS,AS31732,Parsun Network Solutions PTY LTD,parsun.com,global_cdn_edge
2001:16c0:5000::/48,Iran,IR,Asia,AS,AS31732,Parsun Network Solutions PTY LTD,parsun.com,global_cdn_edge
2001:16c0:fefc::/47,Iran,IR,Asia,AS,AS31732,Parsun Network Solutions PTY LTD,parsun.com,global_cdn_edge
2001:3786:5006:500::/56,Iran,IR,Asia,AS,AS205563,zGato Global Network,zgato.dev,global_cdn_edge
2001:3786:5007:500::/56,Iran,IR,Asia,AS,AS205563,zGato Global Network,zgato.dev,global_cdn_edge
2001:3786:bb02:400::/56,Iran,IR,Asia,AS,AS205563,zGato Global Network,zgato.dev,global_cdn_edge
2001:4188::/48,Iran,IR,Asia,AS,AS12880,Iran Information Technology Company PJSC,tic.ir,business
2001:4188:1b::/48,Iran,IR,Asia,AS,AS49666,Telecommunication Infrastructure Company,tic.ir,isp
2001:4860:7:214::/64,Iran,IR,Asia,AS,AS15169,Google LLC,google.com,global_cdn_edge
2001:4860:7:614::/64,Iran,IR,Asia,AS,AS15169,Google LLC,google.com,global_cdn_edge
2001:4860:7:1414::/64,Iran,IR,Asia,AS,AS15169,Google LLC,google.com,global_cdn_edge
2001:4860:7:1514::/64,Iran,IR,Asia,AS,AS15169,Google LLC,google.com,global_cdn_edge
2001:4860:7:1614::/64,Iran,IR,Asia,AS,AS15169,Google LLC,google.com,global_cdn_edge
2001:4860:7:1714::/64,Iran,IR,Asia,AS,AS15169,Google LLC,google.com,global_cdn_edge
2001:4b08:4:4::/64,Iran,IR,Asia,AS,AS29452,Secura Hosting Ltd,node4.co.uk,global_cdn_edge
2001:4b28:6100::/40,Iran,IR,Asia,AS,AS6775,Andreas Fink trading as Fink Telecom Services GmbH,fink-telecom.com,global_cdn_edge
2401:f1e0:ffff:5e69::/64,Iran,IR,Asia,AS,AS38136,Akari Networks,akari.hk,global_cdn_edge
2405:2300:ff00::/47,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff02::/48,India,IN,Asia,AS,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff03::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff04::/47,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff06::/47,Australia,AU,Oceania,OC,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff08::/48,Singapore,SG,Asia,AS,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff09::/48,Hong Kong,HK,Asia,AS,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff0a::/47,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff0c::/48,India,IN,Asia,AS,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff0d::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff0e::/47,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff10::/48,Japan,JP,Asia,AS,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff11::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff12::/47,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff14::/46,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff18::/45,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff20::/43,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff40::/47,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42::/49,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42:8000::/50,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42:c000::/51,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42:e000::/64,India,IN,Asia,AS,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42:e001::/64,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42:e002::/63,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42:e004::/62,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42:e008::/63,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42:e00a::/64,India,IN,Asia,AS,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42:e00b::/64,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42:e00c::/62,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42:e010::/60,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42:e020::/59,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42:e040::/58,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42:e080::/57,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42:e100::/56,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42:e200::/55,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42:e400::/54,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42:e800::/53,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff42:f000::/52,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff43::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff44::/47,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff46::/48,Japan,JP,Asia,AS,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff47::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff48::/45,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff50::/44,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff60::/44,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff70::/47,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff72::/61,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff72:8::/64,India,IN,Asia,AS,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff72:9::/64,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff72:a::/63,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff72:c::/62,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff72:10::/60,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff72:20::/59,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff72:40::/58,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff72:80::/57,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff72:100::/56,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff72:200::/55,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff72:400::/54,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff72:800::/53,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff72:1000::/52,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff72:2000::/51,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff72:4000::/50,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff72:8000::/49,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff73::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff74::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff75::/48,Singapore,SG,Asia,AS,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff76::/48,Japan,JP,Asia,AS,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff77::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff78::/45,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ff80::/42,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ffc0::/45,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ffc8::/46,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ffcc::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ffcd::/48,China,CN,Asia,AS,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ffce::/48,Singapore,SG,Asia,AS,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ffcf::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ffd0::/44,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:2300:ffe0::/43,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2405:b500:3800::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2405:b500:3800:10::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2405:b500:3800:18::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2405:b500:3820::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2405:b500:3820:10::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2405:b500:3820:18::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2405:b500:3840::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2405:b500:3840:10::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2405:b500:3840:18::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2405:b500:3860::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2405:b500:3860:10::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2405:b500:3860:18::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2406:840:fed8::/48,China,CN,Asia,AS,AS142642,Atonal System,icloud.com,unknown
2600:70ff:a6de::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2600:70ff:a7a2::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2600:70ff:a88b::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2600:70ff:abc6::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2600:70ff:d0b6::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2602:f54e:1::/48,China,CN,Asia,AS,AS402004,"Rui Sun, Sole Proprietorship",icloud.com,unknown
2602:f54e:2::/48,United States,US,North America,NA,AS402004,"Rui Sun, Sole Proprietorship",icloud.com,unknown
2602:f92a:1314::/48,China,CN,Asia,AS,AS204518,Shiyu Zhou,icloud.com,unknown
2602:f9a9:102::/48,Japan,JP,Asia,AS,AS63008,SIMPLE CLOUD SOLUTION LLC,haeimalan.com,unknown
2602:f9a9:103::/48,Taiwan,TW,Asia,AS,AS63008,SIMPLE CLOUD SOLUTION LLC,haeimalan.com,unknown
2602:f9a9:201::/48,United States,US,North America,NA,AS63008,SIMPLE CLOUD SOLUTION LLC,haeimalan.com,unknown
2602:f9a9:301::/48,United States,US,North America,NA,AS397968,SIMPLE CLOUD SOLUTION LLC,icloud.com,unknown
2602:fafd:f04::/64,United States,US,North America,NA,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:1::/64,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:2::/63,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:4::/62,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:8::/61,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:10::/60,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:20::/59,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:40::/58,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:80::/57,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:100::/56,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:200::/55,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:400::/54,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:800::/53,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:1000::/52,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:2000::/51,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:4000::/50,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2602:fafd:f04:8000::/49,Singapore,SG,Asia,AS,AS204789,BIZBETA LTD,pm.me,unknown
2606:54c0:4130::/44,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2606:54c0:4140::/45,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2606:54c3:0:7c6::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2606:54c3:0:1754::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2606:54c3:0:1847::/64,Iran,IR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com,global_cdn_edge
2620:109:c001::/48,United States,US,North America,NA,AS14413,LinkedIn Corporation,linkedin.com,unknown
2620:109:c002::/48,United States,US,North America,NA,AS14413,LinkedIn Corporation,linkedin.com,unknown
2620:109:c003::/48,United States,US,North America,NA,AS40793,LinkedIn Corporation,linkedin.com,unknown
2620:109:c006::/48,United States,US,North America,NA,AS55163,LinkedIn Corporation,linkedin.com,unknown
2620:109:c00a::/48,United States,US,North America,NA,AS14413,LinkedIn Corporation,linkedin.com,unknown
2620:119:5000::/42,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2620:119:5041::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2620:119:5043::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2620:119:5044::/47,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2620:119:5053::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2620:119:5070::/47,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2620:119:5073::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2620:119:5074::/47,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2620:119:50c0::/48,United States,US,North America,NA,AS14413,LinkedIn Corporation,linkedin.com,unknown
2620:119:50d2::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2620:119:50e5::/48,United States,US,North America,NA,AS14413,LinkedIn Corporation,linkedin.com,unknown
2620:119:50e6::/47,United States,US,North America,NA,AS14413,LinkedIn Corporation,linkedin.com,unknown
2620:119:50e8::/48,United States,US,North America,NA,AS14413,LinkedIn Corporation,linkedin.com,unknown
2620:119:50ea::/48,United States,US,North America,NA,AS14413,LinkedIn Corporation,linkedin.com,unknown
2804:1b84::/32,Brazil,BR,South America,SA,AS61732,PRECISA INTERNET E COMUNICAÇÃO LTDA,icloud.com,unknown
2804:2e30::/32,Brazil,BR,South America,SA,AS265330,Ponto a Ponto Telecomunicaçoes,ptptelecom.com.br,unknown
2804:6524::/32,Brazil,BR,South America,SA,AS269471,LEHMKUHLL e ANTONELLI LTDA-ME,icloud.com,unknown
2804:7060::/32,Brazil,BR,South America,SA,AS270723,Poecom Telecom LTDA.,icloud.com,unknown
2804:78f4::/32,Brazil,BR,South America,SA,AS271276,K C C MATIAS-ME,icloud.com,unknown
2804:8758::/32,Brazil,BR,South America,SA,AS272703,MYLINK SERVICO DE COMUNICACAO MULTIMIDIA EIRELI,icloud.com,unknown
2804:8c00::/32,Brazil,BR,South America,SA,AS273773,UP TELECOMUNICAÇÕES,icloud.com,unknown
2804:8f80::/32,Brazil,BR,South America,SA,AS273494,"ROCHA, VIEIRA E CAMINHA LTDA",icloud.com,unknown
2804:958c::/32,Brazil,BR,South America,SA,AS274529,M.O. SERVICOS DE TELECOMUNICACOES LTDA,icloud.com,unknown
2a00:5540:1::/48,Iran,IR,Asia,AS,AS50763,MCKAYCOM Wireless,as50763.net,global_cdn_edge
2a01:130:10::/48,Iran,IR,Asia,AS,AS8495,INTERNET AG Global Network,inet.de,global_cdn_edge
2a01:528:6100::/40,Iran,IR,Asia,AS,AS6775,Andreas Fink trading as Fink Telecom Services GmbH,fink-telecom.com,global_cdn_edge
2a01:e140::/64,The Netherlands,NL,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:1::/64,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:2::/63,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:4::/62,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:8::/61,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:10::/60,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:20::/59,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:40::/58,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:80::/57,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:100::/56,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:200::/55,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:400::/54,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:800::/53,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:1000::/52,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:2000::/51,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:4000::/50,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:8000::/49,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10::/64,The Netherlands,NL,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:1::/64,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:2::/63,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:4::/62,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:8::/61,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:10::/64,The Netherlands,NL,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:11::/64,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:12::/63,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:14::/62,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:18::/61,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:20::/59,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:40::/58,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:80::/57,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:100::/56,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:200::/55,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:10:400::/54,Germany,DE,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
